Products,Value(in Millions)
Machines,"2,860"
Metals,"1,940"
Transportation,"1,190"
Chemical Products,827
Foodstuffs,801
Vegetable products,514
Plastics and Rubbers,386
Miscellaneous,348
Instruments,335
Textiles,303
Others,"1,596"
