Product,Value(in Millions)
Mineral,479
Foodstuffs,413
Precious metals,343
Metals,223
Textile,94.6
Instruments,38
Stone&Glass,34.5
Machins ,26.6
Chemical,18.4
Transportation,13.5
Others,106.4
