Products,Value(in Millions)
Machines,"1,380"
Mineral Products,"1,360"
Transportation,691
Chemical Products,651
Metals,543
Foodstuffs,524
Plastics and Rubbers,331
Textiles,318
Vegetable products,269
Animal Products,199
Others,964
