Products,Value(in Millions)
Mineral Products,404
Foodstuffs,366
Metals,251
Vegetable products,240
Chemical Products,225
Transportation,185
Precious metals,87.9
Textiles,86
Animal Products,74.6
Machines,53.8
Others,136.7
